Course Name,Type,Location,Cost,Eligibility,Link
Graphic Design Masterclass (72),Technical,Telangana,0,Graduate,http://example.com/graphic-design-masterclass-72
Diploma in Hotel Management (73),Technical,Kerala,500,12th Pass,http://example.com/diploma-in-hotel-management-73
BSc in Agriculture (74),Vocational,Bihar,500,12th Pass,http://example.com/bsc-in-agriculture-74
Mechanical Fitter (75),Tertiary,Gujarat,2000,10th Pass,http://example.com/mechanical-fitter-75
Tally Accounting (76),Tertiary,Online,3000,12th Pass,http://example.com/tally-accounting-76
Data Entry Operator (77),Vocational,Goa,1500,10th Pass,http://example.com/data-entry-operator-77
Basic Electronics (78),Technical,Maharashtra,1500,10th Pass,http://example.com/basic-electronics-78
Healthcare Assistant Course (79),Technical,Bihar,2500,Graduate,http://example.com/healthcare-assistant-course-79
Basic Electronics (80),Vocational,Tamil Nadu,500,Graduate,http://example.com/basic-electronics-80
Data Entry Operator (81),Technical,Assam,500,12th Pass,http://example.com/data-entry-operator-81
Web Development Bootcamp (82),Vocational,West Bengal,2000,10th Pass,http://example.com/web-development-bootcamp-82
Online Python Programming (83),Vocational,Rajasthan,200,12th Pass,http://example.com/online-python-programming-83
Digital Marketing Fundamentals (84),Tertiary,Goa,500,10th Pass,http://example.com/digital-marketing-fundamentals-84
Mobile App Development (85),Vocational,Goa,0,10th Pass,http://example.com/mobile-app-development-85
Healthcare Assistant Course (86),Technical,Goa,1000,12th Pass,http://example.com/healthcare-assistant-course-86
Mobile App Development (87),Tertiary,Kerala,2500,10th Pass,http://example.com/mobile-app-development-87
Plumbing Technician (88),Vocational,Gujarat,3000,12th Pass,http://example.com/plumbing-technician-88
Mechanical Fitter (89),Vocational,Rajasthan,0,Graduate,http://example.com/mechanical-fitter-89
Diploma in Electrical Engineering (90),Technical,Uttar Pradesh,1500,10th Pass,http://example.com/diploma-in-electrical-engineering-90
Digital Marketing Fundamentals (91),Technical,Jharkhand,2500,Graduate,http://example.com/digital-marketing-fundamentals-91
Diploma in Hotel Management (92),Technical,Karnataka,200,12th Pass,http://example.com/diploma-in-hotel-management-92
Mobile App Development (93),Tertiary,Online,0,10th Pass,http://example.com/mobile-app-development-93
Welding Technician (94),Technical,Jharkhand,2000,12th Pass,http://example.com/welding-technician-94
Welding Technician (95),Tertiary,Kerala,2500,Graduate,http://example.com/welding-technician-95
Diploma in Electrical Engineering (96),Technical,Delhi,2500,10th Pass,http://example.com/diploma-in-electrical-engineering-96
AI & Machine Learning Basics (97),Tertiary,Gujarat,2000,12th Pass,http://example.com/ai-&-machine-learning-basics-97
Diploma in Computer Science (98),Tertiary,Uttar Pradesh,2000,Graduate,http://example.com/diploma-in-computer-science-98
BSc in Agriculture (99),Tertiary,West Bengal,1500,Graduate,http://example.com/bsc-in-agriculture-99
Beautician Course (100),Technical,Andhra Pradesh,1500,Graduate,http://example.com/beautician-course-100
